"coag","diet"
63.6096872170212,"A"
59.3740412293039,"A"
62.7765392833262,"A"
57.8807796692872,"A"
61.3389308818075,"B"
66.9770193556695,"B"
70.9869320370391,"B"
63.8710552108539,"B"
65.8995221969507,"B"
65.5615986143403,"B"
69.1738883500531,"C"
67.0798263212496,"C"
70.3140474537424,"C"
66.3897188086644,"C"
68.6438112361347,"C"
69.4940334607399,"C"
57.9415280442949,"control"
61.800100692892,"control"
61.1485407677711,"control"
61.3150065482363,"control"
64.8103850313338,"control"
63.258617898565,"control"
61.1269575954638,"control"
59.9472373681436,"control"
