"selenium","meat_type","from_region"
26.72,"venison","TRUE"
28.58,"venison","TRUE"
29.71,"venison","TRUE"
26.95,"venison","TRUE"
10.97,"venison","TRUE"
21.97,"venison","TRUE"
14.35,"venison","TRUE"
32.21,"venison","TRUE"
19.19,"venison","TRUE"
30.92,"venison","TRUE"
10.42,"venison","TRUE"
35.49,"venison","TRUE"
36.84,"venison","TRUE"
25.03,"venison","TRUE"
33.59,"venison","TRUE"
33.74,"venison","TRUE"
18.02,"venison","TRUE"
22.27,"venison","TRUE"
26.1,"venison","TRUE"
20.89,"venison","TRUE"
29.44,"venison","TRUE"
14.86,"venison","TRUE"
16.47,"venison","TRUE"
25.19,"venison","TRUE"
37.45,"venison","TRUE"
45.08,"venison","TRUE"
25.22,"venison","TRUE"
22.11,"venison","TRUE"
33.01,"venison","TRUE"
31.2,"venison","TRUE"
26.5,"venison","TRUE"
32.77,"venison","TRUE"
8.7,"venison","TRUE"
25.9,"venison","TRUE"
29.8,"venison","TRUE"
37.63,"venison","TRUE"
21.69,"venison","TRUE"
21.49,"venison","TRUE"
18.11,"venison","TRUE"
31.5,"venison","TRUE"
27.36,"venison","TRUE"
21.33,"venison","TRUE"
37.42,"squirrel","TRUE"
56.46,"squirrel","TRUE"
51.91,"squirrel","TRUE"
62.73,"squirrel","TRUE"
4.55,"squirrel","TRUE"
39.17,"squirrel","TRUE"
38.44,"squirrel","TRUE"
40.92,"squirrel","TRUE"
58.93,"squirrel","TRUE"
61.88,"squirrel","TRUE"
49.54,"squirrel","TRUE"
64.35,"squirrel","TRUE"
82.49,"squirrel","TRUE"
38.54,"squirrel","TRUE"
39.53,"squirrel","TRUE"
37.57,"squirrel","TRUE"
25.71,"squirrel","TRUE"
23.97,"squirrel","TRUE"
13.82,"squirrel","TRUE"
42.21,"squirrel","TRUE"
35.88,"squirrel","TRUE"
10.54,"squirrel","TRUE"
27.97,"squirrel","TRUE"
41.89,"squirrel","TRUE"
23.94,"squirrel","TRUE"
49.81,"squirrel","TRUE"
30.71,"squirrel","TRUE"
50,"squirrel","TRUE"
87.5,"squirrel","TRUE"
68.99,"squirrel","TRUE"
11.23,"beef","TRUE"
29.63,"beef","TRUE"
20.42,"beef","TRUE"
10.12,"beef","TRUE"
39.91,"beef","TRUE"
32.66,"beef","TRUE"
38.38,"beef","TRUE"
36.21,"beef","TRUE"
16.39,"beef","TRUE"
27.44,"beef","TRUE"
17.29,"beef","TRUE"
56.2,"beef","TRUE"
28.94,"beef","TRUE"
20.11,"beef","TRUE"
25.35,"beef","TRUE"
21.77,"beef","TRUE"
31.62,"beef","TRUE"
32.63,"beef","TRUE"
30.31,"beef","TRUE"
46.16,"beef","TRUE"
56.61,"beef","TRUE"
24.47,"beef","TRUE"
29.39,"beef","TRUE"
40.71,"beef","TRUE"
18.52,"beef","TRUE"
27.8,"beef","TRUE"
19.49,"beef","TRUE"
15.82,"beef","TRUE"
27.74,"beef","TRUE"
22.35,"beef","TRUE"
34.78,"beef","TRUE"
35.09,"beef","TRUE"
32.6,"beef","TRUE"
37.03,"beef","TRUE"
27,"beef","TRUE"
44.2,"beef","TRUE"
13.09,"beef","TRUE"
33.03,"beef","TRUE"
9.69,"beef","TRUE"
32.45,"beef","TRUE"
37.38,"beef","TRUE"
34.91,"beef","TRUE"
27.99,"beef","TRUE"
22.36,"beef","TRUE"
22.68,"beef","TRUE"
26.52,"beef","TRUE"
46.01,"beef","TRUE"
38.04,"beef","TRUE"
30.88,"beef","TRUE"
30.04,"beef","TRUE"
25.91,"beef","TRUE"
18.54,"beef","TRUE"
25.51,"beef","TRUE"
44.33,"beef","FALSE"
76.86,"beef","FALSE"
4.45,"beef","FALSE"
55.01,"beef","FALSE"
58.21,"beef","FALSE"
74.72,"beef","FALSE"
11.84,"beef","FALSE"
139.09,"beef","FALSE"
69.01,"beef","FALSE"
94.61,"beef","FALSE"
48.35,"beef","FALSE"
37.65,"beef","FALSE"
66.36,"beef","FALSE"
72.48,"beef","FALSE"
87.09,"beef","FALSE"
26.34,"beef","FALSE"
71.24,"beef","FALSE"
90.38,"beef","FALSE"
50.86,"beef","FALSE"
